word_pair,word1,word2,pair_freq,word1_freq,word2_freq,logdice
peptic ulcer,peptic,ulcer,10,15,23,13.074001
tschudin 2003b,tschudin,2003b,5,6,13,13.074001
petit chrissinclair,petit,chrissinclair,5,14,5,13.074001
san francisco,san,francisco,18,42,27,13.061401
michelson interferometer,michelson,interferometer,12,12,34,13.061401
kalyan chaudhuri,kalyan,chaudhuri,6,8,15,13.061401
dani rodrik,dani,rodrik,6,11,12,13.061401
midland metro,midland,metro,31,52,67,13.059379
university press,university,press,818,1625,1527,13.053905
noncyclic photophosphorylation,noncyclic,photophosphorylation,7,12,15,13.052467
opuntia stricta,opuntia,stricta,8,14,17,13.045804
dover thrift,dover,thrift,8,18,13,13.045804
mario petrucci,mario,petrucci,8,13,18,13.045804
doc a61,doc,a61,8,23,8,13.045804
apical ectodermal,apical,ectodermal,9,18,17,13.040642
sayings unnamed,sayings,unnamed,9,14,21,13.040642
glulam softwood,glulam,softwood,9,25,10,13.040642
millau viaduct,millau,viaduct,11,20,23,13.033167
amino acids,amino,acids,103,212,191,13.031864
danby 1955,danby,1955,20,20,59,13.018147
pleural effusion,pleural,effusion,29,59,57,13.0
rinaldi carpenter,rinaldi,carpenter,12,12,36,13.0
bram stoker,bram,stoker,9,16,20,13.0
naevi caput,naevi,caput,8,18,14,13.0
501 ®,501,®,8,24,8,13.0
stewartsonwarnwarn streamfunction,stewartsonwarnwarn,streamfunction,7,7,21,13.0
factorprice equalisation,factorprice,equalisation,7,9,19,13.0
mellars 19761545,mellars,19761545,6,18,6,13.0
balmer radmore,balmer,radmore,6,18,6,13.0
anna syngellakis,anna,syngellakis,6,18,6,13.0
avian flu,avian,flu,5,8,12,13.0
epaulette shark,epaulette,shark,5,5,15,13.0
meyerowitz joanne,meyerowitz,joanne,5,6,14,13.0
turin shroud,turin,shroud,5,13,7,13.0
phanourios minutus,phanourios,minutus,5,14,6,13.0
brad hooker,brad,hooker,5,6,14,13.0
schuster personalising,schuster,personalising,5,13,7,13.0
