word_pair,word1,word2,observed_freq,word1_freq,word2_freq,expected_freq,mutual_information,t_score,combined_score
international system,international,system,90,3029,6237,2.961403,4.925572,9.174674,0.078162
to compare,to,compare,269,182356,574,16.407957,4.035139,15.400809,0.078153
up until,up,until,68,5131,1465,1.178317,5.850735,8.103319,0.078152
recovered from,recovered,from,62,162,27649,0.702129,6.464388,7.784837,0.078149
work together,work,together,66,4842,1343,1.01935,6.016745,7.998565,0.078130
some degree,some,degree,70,8043,1075,1.355343,5.690625,8.204606,0.078024
required for,required,for,300,2214,53993,18.738621,4.000876,16.238633,0.078006
was held,was,held,124,35888,1001,5.631264,4.460738,10.629826,0.077994
is necessary,is,necessary,472,107360,1875,31.554865,3.902853,20.273131,0.077925
differs from,differs,from,60,132,27649,0.572105,6.712538,7.672108,0.077917
wind tunnel,wind,tunnel,49,408,138,0.008826,12.438741,6.998739,0.077898
least one,least,one,85,1278,12957,2.59572,5.033256,8.937999,0.077884
global market,global,market,66,1524,4389,1.048511,5.976052,7.994976,0.077855
demonstrates that,demonstrates,that,114,404,77225,4.890596,4.54288,10.219032,0.077811
sought to,sought,to,176,335,182356,9.576072,4.199998,12.544676,0.077803
books ltd,books,ltd,51,564,591,0.05225,9.930841,7.134112,0.077795
indicated that,indicated,that,125,474,77225,5.737977,4.445242,10.66712,0.077790
this investigation,this,investigation,127,53108,708,5.894076,4.429419,10.746413,0.077766
an indicator,an,indicator,64,27148,211,0.897931,6.155324,7.887759,0.077758
extremely important,extremely,important,60,699,5357,0.586977,6.675514,7.670188,0.077753
too many,too,many,79,1977,6858,2.125332,5.216093,8.649076,0.077747
convention on,convention,on,76,333,36051,1.881846,5.335779,8.501935,0.077729
room for,room,for,122,652,53993,5.518329,4.466506,10.545755,0.077723
removal of,removal,of,153,207,242534,7.869833,4.281055,11.733079,0.077709
to pay,to,pay,318,182356,705,20.15263,3.979987,16.702451,0.077691
large numbers,large,numbers,57,2911,825,0.37646,7.242322,7.499971,0.077686
be defined,be,defined,199,56510,1277,11.311983,4.136845,13.304851,0.077682
some form,some,form,115,8043,3955,4.9864,4.527491,10.258821,0.077681
agreement with,agreement,with,100,611,39877,3.819322,4.71054,9.618068,0.077672
agrees with,agrees,with,62,120,39877,0.750112,6.369018,7.778744,0.077654
be concluded,be,concluded,93,56510,369,3.268694,4.830445,9.304703,0.077644
more realistic,more,realistic,61,17191,250,0.673696,6.500569,7.723992,0.077641
matter how,matter,how,65,1004,6298,0.991195,6.035128,7.939315,0.077634
dependant upon,dependant,upon,52,250,2424,0.094994,9.096463,7.197929,0.077625
hydrogen bonds,hydrogen,bonds,49,308,257,0.012408,11.94728,6.998227,0.077586
separated from,separated,from,66,249,27649,1.079198,5.934434,7.991198,0.077569
natural resources,natural,resources,57,1774,1393,0.387371,7.201102,7.498526,0.077549
language learning,language,learning,63,3330,1617,0.844067,6.221851,7.830912,0.077504
lower classes,lower,classes,54,1990,645,0.201203,8.068161,7.321089,0.077491
metabolic rate,metabolic,rate,51,126,3189,0.062987,9.661238,7.132609,0.077470
to fulfil,to,fulfil,120,182356,189,5.40262,4.473231,10.461262,0.077466
public sector,public,sector,56,2337,892,0.326773,7.420994,7.439648,0.077458
low level,low,level,70,2407,3770,1.42246,5.620895,8.196584,0.077433
plays an,plays,an,80,528,27148,2.246955,5.153957,8.693055,0.077425
to raise,to,raise,161,182356,298,8.518416,4.240332,12.017232,0.077421
staff members,staff,members,55,1184,1430,0.265406,7.695088,7.380411,0.077419
new jersey,new,jersey,51,7653,54,0.064781,9.62071,7.132357,0.077419
cowley manor,cowley,manor,47,54,64,0.000542,16.404683,6.855576,0.077411
vortex rings,vortex,rings,48,140,191,0.004192,13.483232,6.927598,0.077410
designed to,designed,to,330,739,182356,21.124529,3.965475,17.003035,0.077382
ethnic groups,ethnic,groups,53,411,2393,0.154173,8.425303,7.258933,0.077371
al 1991,al,1991,58,3446,876,0.473197,6.937468,7.553639,0.077368
to expand,to,expand,134,182356,227,6.488861,4.368124,11.015285,0.077359
intend to,intend,to,86,96,182356,2.744188,4.969886,8.977705,0.077355
will affect,will,affect,96,17495,1293,3.54597,4.758782,9.43605,0.077354
you have,you,have,168,2330,24793,9.055398,4.213539,12.262842,0.077353
contributes to,contributes,to,101,138,182356,3.94477,4.67827,9.657356,0.077330
colorectal cancer,colorectal,cancer,48,76,395,0.004706,13.316308,6.927524,0.077329
have become,have,become,171,24793,2389,9.284698,4.202998,12.366678,0.077327
demonstrated by,demonstrated,by,87,474,38073,2.828903,4.942701,9.024089,0.077325
am going,am,going,51,540,809,0.06848,9.540595,7.131839,0.077317
attack on,attack,on,83,444,36051,2.509128,5.047853,8.835021,0.077287
can affect,can,affect,108,22213,1293,4.502236,4.584246,9.959077,0.077266
good quality,good,quality,66,3324,2135,1.112452,5.89065,7.987105,0.077261
abdominal pain,abdominal,pain,49,121,904,0.017147,11.480649,6.99755,0.077258
molecular motion,molecular,motion,49,334,335,0.017539,11.44797,6.997494,0.077234
motivated by,motivated,by,68,215,38073,1.283152,5.727771,8.090606,0.077205
longer than,longer,than,77,1204,10745,2.027942,5.24677,8.543859,0.077202
